The universe is teeming with planets.	Visatoje knibždėte knibžda planetos.	O universo está repleto de planetas .	Evren gezegenlerle dolu.	talk_1976_en-en-lt-pt-tr
Here we are out at the Oort Cloud, outside the solar system, and we're starting to see the sun move into the field of view and get into where the planet is.	Dabar esame prie Oorto Debesies,už Saulės sistemos ribų, ir dabar matome, kaip saulė atsiduria vaizdo lauke, ten, kur yra planeta.	Aqui estamos na Nuvem de Oort , fora de_ o sistema solar , aqui começamos a ver o Sol a mover -se para o campo de visão e a sobrepor -se a_ o planeta .	İşte şimdi Oort Blulutu'ndayız, güneş sisteminin dışında ve güneşin görüş alanımıza, gezegenlerin oldukları yere geçtiğini görmeye başlıyoruz.	talk_1976_en-en-lt-pt-tr
One more time, ten times further away.	Dar kartą dešimt kartų toliau.	Mais uma vez , dez vezes mais distantes .	Bir kez daha 10 kat uzaklaşarak Alpha Centauri'ye varıyoruz.	talk_1976_en-en-lt-pt-tr
Now we're at Alpha Centauri, our nearest neighbor star, and the planet is gone.	Dabar esame prie Alfa Kentauro, mūsų artimiausios kaimynės ir planetos jau nebėra.	Agora estamos na Alfa Centauri , a nossa estrela vizinha mais próxima , e o planeta desapareceu .	O en yakın komşu yıldızımız ve gezegen kayboldu.	talk_1976_en-en-lt-pt-tr
All we're seeing is the big beaming image of the star that's ten billion times brighter than the planet, which should be in that little red circle.	Tematome tik šviečiantį žvaigždės vaizdą, kuris dešimt milijardų kartų ryškesnis už planetą, kuri turėtų būti raudoname apskritime.	Tudo o que vemos é a imagem de grandes feixes de_ a estrela que é dez mil milhões de vezes mais brilhante de_ o que o planeta , que deveria estar em_ aquele pequeno círculo vermelho .	Görebildiğimiz tek şey, şuradaki küçük kırmızı çemberin içinde bulunuyor olan gezegenden 10 milyar kat daha parlak olan yıldızın parıldayan büyük görüntüsü.	talk_1976_en-en-lt-pt-tr
That's what we want to see.	Tai ir norime pamatyti.	É o que queremos ver .	Görmek istediğimiz şey ise o gezegen.	talk_1976_en-en-lt-pt-tr
That's why it's hard.	Todėl tai ir sunku.	É por isso que é difícil .	Bu yüzden bu kadar zor.	talk_1976_en-en-lt-pt-tr
The light from the star is diffracting.	Nuo žvaigždės sklindanti šviesa lūžta.	A luz de_ a estrela sofre difracção .	Yıldızdan gelen ışık sapma yapıyor.	talk_1976_en-en-lt-pt-tr
It's scattering inside the telescope, creating that very bright image that washes out the planet.	Ji išsisklaido teleskope sukurdama tą ryškų vaizdą, kuris užlieja planetą.	Dispersa -se dentro de_ o telescópio , criando esta imagem muito brilhante que ofusca o planeta .	Teleskobun içinde saçılarak, gezegeni görülemeyecek hâle getiren bu aşırı parlak görüntüyü yaratıyor.	talk_1976_en-en-lt-pt-tr
So to see the planet, we have to do something about all of that light.	Kad pamatytume tą planetą, turime kažką padaryti su ta šviesa.	Para vermos o planeta , temos que fazer algo em relação a toda esta luz .	Dolayısıyla gezegeni görmek için tüm bu ışığa ilişkin bir şeyler yapmamız gerek.	talk_1976_en-en-lt-pt-tr
We have to get rid of it.	Ją reikia pašalinti.	Temos que nos livrar de_ ela .	Ondan kurtulmak zorundayız. Bunu başarmak için gerçekten inanılmaz teknolojiler üzerinde çalışan pek çok meslektaşım var.	talk_1976_en-en-lt-pt-tr
I have a lot of colleagues working on really amazing technologies to do that, but I want to tell you about one today that I think is the coolest, and probably the most likely to get us an Earth in the next decade.	Kai kurie mano kolegos dirba būtent ties tokiomis technologijomis, bet šiandien noriu papasakoti apie tą, kuri, mano galva, šauniausia ir labiausiai pajėgi padaryti norimą nuotrauką per artimiausią dešimtmetį.	Tenho vários colegas a trabalhar em tecnologias fantásticas para fazer isso , mas hoje quero falar -vos de uma que penso ser a mais fixe , e provavelmente a que tem mais hipóteses de nos conseguir uma Terra na próxima década .	Ben şimdi sizlere bunların en ilginci olduğunu düşündüğüm birini anlatacağım. Bu muhtemelen bize gelecek 10 yılda bir Dünya bulmaya en yakın olanı.	talk_1976_en-en-lt-pt-tr
It was first suggested by Lyman Spitzer, the father of the space telescope, in 1962, and he took his inspiration from an eclipse.	Pirmasis tai pasiūlė Lyman Spitzer, kosminio teleskopo tėvas, 1962 m. Jį įkvėpė vienas užtemimas.	Foi inicialmente sugerida por Lyman Spitzer , o pai de_ o telescópio espacial , em 1962 , que se inspirou em_ um eclipse , Já todos viram isto .	Fikir ilk olarak 1962'de, uzay teleskobunun babası Lyman Spitzer tarafından ortaya atıldı.	talk_1976_en-en-lt-pt-tr
You've all seen that.	Esate tai matę.		Bir tutulmadan esinlenmişti. Hepiniz bunu görmüşsünüzdür.	talk_1976_en-en-lt-pt-tr
That's a solar eclipse.	Kalbu apie saulės užtemimą.	É um eclipse solar .	Bu bir güneş tutulması.	talk_1976_en-en-lt-pt-tr
The moon has moved in front of the sun.	Mėnulis atsiduria priešais saulę.	A Lua colocou -se à frente de_ o Sol .	Ay güneşin önüne geçmiş durumda.	talk_1976_en-en-lt-pt-tr
It blocks out most of the light so we can see that dim corona around it.	Jis uždengia didžiąją dalį šviesos ir mes tematome blyškų vainiką aplink.	Bloqueou a maior parte de_ a sua luz por isso podemos ver a coroa ténue à sua volta .	Işığın çoğunu engelliyor, böylece etrafındaki soluk koronayı görebiliyoruz.	talk_1976_en-en-lt-pt-tr
It would be the same thing if I put my thumb up and blocked that spotlight that's getting right in my eye, I can see you in the back row.	Būtų tas pats, jei aš nykščiu uždengčiau tą lempos šviesą, kuri sklinda man į akis. Matau jus galinėje eilėje.	Seria o mesmo se erguesse o meu polegar e bloqueasse o ponto luminoso à frente de_ os meus olhos , poderia vê# -los na última fila .	Eğer başparmağımı kaldırıp, tam gözüme gelen şu spot ışığını engellersem de aynı şey olacaktır, arka hatta sizi görebilirim.	talk_1976_en-en-lt-pt-tr
Well, what's going on?	Kas čia vyksta?	Bem , o que está a acontecer ?	Peki bu nasıl oluyor?	talk_1976_en-en-lt-pt-tr
Well the moon is casting a shadow down on the Earth.	Mėnulis meta šešėlį ant Žemės.	Bem , a Lua projecta uma sombra na Terra .	Ay'ın gölgesi Dünya'nın üzerine düşüyor.	talk_1976_en-en-lt-pt-tr
We put a telescope or a camera in that shadow, we look back at the sun, and most of the light's been removed and we can see that dim, fine structure in the corona.	Pastatome teleskopą ar kamerą tame šešėlyje ir atsisukame į saulę. Didžioji dalis šviesos pašalinta ir mes matome blyškią, trapią struktūrą vainike.	Colocamos um telescópio ou uma câmara em_ essa sombra , e olhamos para o Sol , e a maior parte de_ a luz foi removida e podemos ver essa ténue e fina estrutura na coroa .	Bu gölgeye bir teleskop veya kamera koyuyoruz, güneşe tekrar bakıyoruz ve ışığın çoğu yok olmuş oluyor ve böylece korona bölgesinde kalan soluk detayları görebiliyoruz.	talk_1976_en-en-lt-pt-tr
Spitzer's suggestion was we do this in space.	Spitzer siūlė tą patį padaryti erdvėje.	A sugestão de Spitzer foi que o fizéssemos no espaço .	Spitzer bunu uzayda yapmayı önerdi.	talk_1976_en-en-lt-pt-tr
We build a big screen, we fly it in space, we put it up in front of the star, we block out most of the light, we fly a space telescope in that shadow that's created, and boom, we get to see planets.	Pastatome didelę uždangą, nuskraidiname ją į kosmosą, paliekame ją priešais žvaidgždę, užblokuojame didžiąją dalį šviesos, į sukurtą šešėlį nuskraidiname kosminį teleskopą, ir štai – galime matyti planetas.	Construíamos uma tela grande , colocávamo# -la no espaço , em frente a uma estrela , bloqueávamos a maior parte de_ a luz , colocávamos um telescópio espacial em_ essa sombra criada , e zás , conseguíamos ver os planetas .	Büyük bir gölgelik yapıp uzaya göndeririz, bunu yıldızın tam önüne koyarız, ışığın çoğunu engelleriz, oluşan gölgeye bir uzay teleskobu yerleştiririz ve işte, gezegenleri görebilir hâle geliriz.	talk_1976_en-en-lt-pt-tr
Well that would look something like this.	Taip viskas atrodytų.	Seria algo parecido com isto .	Bu şöyle bir şey olurdu.	talk_1976_en-en-lt-pt-tr
So there's that big screen, and there's no planets, because unfortunately it doesn't actually work very well, because the light waves of the light and waves diffracts around that screen the same way it did in the telescope.	Didysis ekranas yra, o planetų ne, nes, pasirodo, ne viskas gerai veikia, nes šviesos bangos užlinksta aplink ekraną lygiai taip kaip ir teleskope.	Aqui está a tela grande , e não há planetas , porque , infelizmente , não funciona lá muito bem por causa de_ as ondas luminosas e as ondas sofrem difracção à volta de_ essa tela tal como no telescópio .	Şuradaki o büyük gölgelik, ama hiç gezegen görünmüyor çünkü ne yazık ki çok iyi çalışmaz. Bunun nedeni, ışık dalgalarının tıpkı teleskobun içinde olduğu gibi, gölgelikten sapma yapmaları.	talk_1976_en-en-lt-pt-tr
It's like water bending around a rock in a stream, and all that light just destroys the shadow.	Tarytum vandens tėkmė aplink akmenį upelyje, o visa ta šviesa išdarko šešėlį.	É como a água que contorna uma pedra em_ uma corrente , e toda essa luz destrói a sombra .	Bir akarsudaki kayanın etrafında suyun eğilmesine benziyor ve tüm bu ışık, gölgeyi yok ediyor.	talk_1976_en-en-lt-pt-tr
It's a terrible shadow.	Šešėlis didžiulis.	É uma sombra terrível .	Bu kötü bir gölge.	talk_1976_en-en-lt-pt-tr
And we can't see planets.	Ir planetų mes nematome.	E não conseguimos ver planetas .	Gezegenleri göremeyiz.	talk_1976_en-en-lt-pt-tr
But Spitzer actually knew the answer.	Bet Spitzer juk žinojo atsakymą.	Mas Spitzer sabia a solução .	Ama Spitzer aslında yanıtı biliyordu.	talk_1976_en-en-lt-pt-tr
If we can feather the edges, soften those edges so we can control diffraction, well then we can see a planet, and in the last 10 years or so we've come up with optimal solutions for doing that.	Jei galėtume prislopinti, sušvelninti kraštus, galėtume valdyti difrakciją, vadinasi, ir matyti planetą. Per pastaruosius dešimt metų pavyko rasti optimalų sprendimą.	Se conseguirmos suavizar as arestas de modo a controlar a difracção , então poderemos ver um planeta , e nos últimos 10 anos conseguimos soluções ideais para o conseguir .	Eğer uçları inceltip, bu uçları yumuşatabilirsek sapmaları kontrol edebilirdik. O zaman gezegenleri görebilirdik ve yaklaşık son 10 yıldır bunu yapmak için en uygun çözümleri ortaya çıkardık.	talk_1976_en-en-lt-pt-tr
It looks something like that.	Jis maždaug toks.	É algo parecido com isto .	Bunun gibi bir şeye benziyordu.	talk_1976_en-en-lt-pt-tr
We call that our flower petal starshade.	Jį vadiname gėlės žiedlapių šydu.	Chamamos -lhe a nossa sombra estelar em pétalas de flor Se fizermos as arestas de_ a forma correcta , se controlarmos a sua forma , podemos controlar a difracção , e conseguimos uma grande sombra .	Buna Çiçek Yapraklı Yıldız Gölgeleyicimiz diyoruz.	talk_1976_en-en-lt-pt-tr
If we make the edges of those petals exactly right, if we control their shape, we can control diffraction, and now we have a great shadow.	Jei sukursime tinkamos formos žiedlapius, jei galėsime valdyti šešėlį, galėsime valdyti difrakciją ir išgauti puikų šešėlį.		Eğer bu yaprakların uçlarını gerektiği gibi yaparsak, eğer biçimlerini kontrol edebilirsek, sapmaları kontrol edebiliriz ve böylece harika bir gölgeye sahip oluruz.	talk_1976_en-en-lt-pt-tr
It's about 10 billion times dimmer than it was before, and we can see the planets beam out just like that.	Jis dešimt milijardų kartų blankesnis nei anksčiau. Ir matome, kaip šviečia planetos.	É cerca de 10 mil milhões de vezes mais ténue de_ o que era , e conseguimos ver os planetas a aparecer .	Önceki hâlinden 10 milyar kat daha soluk ve gezegenlerin işte böyle belirdiğini görebiliyoruz.	talk_1976_en-en-lt-pt-tr
That, of course, has to be bigger than my thumb.	Na, jis turi būti didesnis už nykštį.	Tem que ser , claro , maior de_ o que o meu polegar .	Tabi bu benim baş parmağımdan daha büyük olmalı.	talk_1976_en-en-lt-pt-tr
That starshade is about the size of half a football field and it has to fly 50,000 kilometers away from the telescope that has to be held right in its shadow, and then we can see those planets.	Šydas maždaug pusės futbolo lauko dydžio. Ir jis turi nuskristi 50 000 kilometrų tolyn nuo teleskopo, jis turi atsidurti tikslioje vietoje ir tada pamatysime tas planetas.	Esta sombra estelar tem cerca de metade de_ o tamanho de um campo de futebol e tem que se distanciar 50 000 quilómetros de_ o telescópio que tem que ser mantido na sua sombra , e então poderemos ver os planetas .	Bu yıldız gölgeleyici yaklaşık yarım futbol sahası büyüklüğünde ve gölgesi içinde tutulması gereken teleskoptan 50.000 kilometre uzakta uçması gerekiyor. Ancak bu şekilde gezegenleri görebiliriz.	talk_1976_en-en-lt-pt-tr
This sounds formidable, but brilliant engineers, colleagues of mine at JPL, came up with a fabulous design for how to do that and it looks like this.	Tai atrodo sunkiai įveikiama, bet puikūs inžinieriai, mano kolegos laboratorijoje, sukūrė nuostabų planą, kaip tai padaryti. Jis maždaug toks.	Isto parece formidável , mas engenheiros brilhantes , colegas meus no LPJ , conseguiram um " design " fabuloso para o conseguir e é parecido com isto .	Bu ürkütücü gelse de, JPL'deki meslektaşlarım, parlak mühendisler bunu nasıl yapabileceğimize ilişkin şöyle muhteşem bir tasarım ortaya attılar.	talk_1976_en-en-lt-pt-tr
It starts wrapped around a hub.	Pradžioje šydas apvyniojamas apie ašį.	De início está enrolado em_ um eixo .	Önce bir makaraya sarılı durumda oluyor.	talk_1976_en-en-lt-pt-tr
It separates from the telescope.	Jis atsiskiria nuo teleskopo.	Separa -se de_ o telescópio .	Teleskoptan ayrılıyor.	talk_1976_en-en-lt-pt-tr
The petals unfurl, they open up, the telescope turns around.	Žiedlapiai skleidžiasi, atsiveria, teleskopas apsisuka.	As pétalas desdobram -se , abrem -se , o telescópio vira -se .	Yapraklar açılıp genişliyor. Teleskop yön değiştiriyor.	talk_1976_en-en-lt-pt-tr
Then you'll see it flip and fly out that 50,000 kilometers away from the telescope.	Tada šydas atsiskiria ir skrenda 50 000 kilometrų tolyn nuo teleskopo.	Então ele vira -se e afasta -se 50 000 quilómetros de_ o telescópio .	Gölgelik döne döne uzaklaşıyor ve teleskoptan 50.000 km uzağa uçuyor.	talk_1976_en-en-lt-pt-tr
It's going to move in front of the star just like that, creates a wonderful shadow.	Jis atsidurs priešais žvaigždę, štai taip, ir sukurs puikų šešėlį.	Coloca -se à frente de_ a estrela deste modo , criando uma sombra maravilhosa .	Yıldızın önüne işte böyle geçecek ve harika bir gölge yaratacak.	talk_1976_en-en-lt-pt-tr
Boom, we get planets orbiting about it.	Valio, aplink jį orbitoje planetos.	Zás , vemos os planetas a orbitar à sua volta .	İşte, yörüngesinde dönen gezegenleri bulduk.	talk_1976_en-en-lt-pt-tr
(Applause) Thank you.	(Plojimai.) Ačiū.	( Aplausos ) Obrigado .	(Alkışlar) Teşekkürler.	talk_1976_en-en-lt-pt-tr
That's not science fiction.	Tai ne mokslinė fantastika.	Não é ficção científica .	Bu bilimkurgu değil.	talk_1976_en-en-lt-pt-tr
We've been working on this for the last five or six years.	Šioje srityje dirbame jau penkerius šešerius metus.	Estamos a trabalhar em_ isto há cinco ou seis anos .	Son 5-6 yıldır bunun üzerinde çalışıyoruz.	talk_1976_en-en-lt-pt-tr
Last summer, we did a really cool test out in California at Northrop Grumman.	Pernai vasarą atlikome puikų bandymą Kaliformijoje, Nortrop Gramane.	No último Verão , fizemos um teste mesmo fixe na Califórnia , na Northrop Grumman .	Geçen yaz, Kaliforniya'da Northrop Grumman'da çok etkileyici bir sınama yaptık.	talk_1976_en-en-lt-pt-tr
So those are four petals.	Štai tie keturi žiedlapiai.	São quatro pétalas .	Burada dört tane yaprak var.	talk_1976_en-en-lt-pt-tr
This is a sub-scale star shade.	Tai šydo poskalė.	É uma sombra estelar em escala reduzida .	Bu küçük ölçekli bir yıldız gölgeleyici.	talk_1976_en-en-lt-pt-tr
It's about half the size of the one you just saw.	Ji veik perpus mažesnė už ką tik matytą.	Tem cerca de metade de_ o tamanho de_ a que viram antes .	Az önce gördüğünüzün ancak yarısı kadar.	talk_1976_en-en-lt-pt-tr
You'll see the petals unfurl.	Pamatysite, kaip skleidžiasi žiedlapiai.	Podem ver as pétalas a desdobrar .	Yapraklarının açıldığını göreceksiniz.	talk_1976_en-en-lt-pt-tr
Those four petals were built by four undergraduates doing a summer internship at JPL.	Tuos keturis žiedlapius sukūrė keturi studentai atlikę pas mus vasaros praktiką.	Essas quatro pétalas foram construídas por quatro estudantes universitários em_ um curso de verão no LPJ .	Bu yapraklar, JPL'de yaz stajı yapan dört lisans öğrencisi tarafından yapıldı.	talk_1976_en-en-lt-pt-tr
Now you're seeing it deploy.	Štai kaip jie skleidžiasi.	Agora podem vê# -la a desenrolar .	Şimdi yerleştirilmesini görüyorsunuz.	talk_1976_en-en-lt-pt-tr
Those petals have to rotate into place.	Žiedlapiai turi suktis ir laiku sustoti.	As petalas têm que se colocar em posição .	Bu yaprakların yerlerine yönlenmesi gerek.	talk_1976_en-en-lt-pt-tr
The base of those petals has to go to the same place every time to within a tenth of a millimeter.	Jų pagrindas turi kaskart sustoti ten pat milimetro dešimtosios tikslumu.	A base de_ essas pétalas tem que se colocar sempre na mesma posição com a precisão de um décimo de milímetro .	Bu yaprakların tabanı her seferinde, milimetrenin onda biri hassaslıkla aynı yere oturmalı.	talk_1976_en-en-lt-pt-tr
We ran this test 16 times, and 16 times it went into the exact same place to a tenth of a millimeter.	Šį bandymą atlikome 16 kartų ir 16 kartų jis stojo į reikiamas vietas reikiamu tikslumu.	Efectuámos este teste 16 vezes , e de_ as 16 vezes voltou à posição exacta com a precisão de um décimo de milímetro .	Bu sınamayı 16 kez yaptık ve 16 kez, milimetrenin onda biri hassaslıkla tam olarak aynı yere geldi.	talk_1976_en-en-lt-pt-tr
This has to be done very precisely, but if we can do this, if we can build this technology, if we can get it into space, you might see something like this.	Tai reikia atlikti labai tiksliai, bet jei mums pavyks, jei technologiją sukursime, jei nugabensime ją į kosmosą, pamatysite kažką tokio.	Isto tem que ser feito com grande precisão , mas se o conseguirmos , se conseguirmos construir esta tecnologia , se a colocarmos no espaço , poderão ver algo assim .	Bu tam bir doğrulukla yapılmalı ve eğer bunu yapabilirsek, eğer bu teknolojiyi inşa edebilirsek, eğer uzaya götürebilirsek, muhtemelen şöyle bir şey görebilirsiniz.	talk_1976_en-en-lt-pt-tr
That's a picture of one our nearest neighbor stars taken with the Hubble Space Telescope.	Tai mūsų artimiausios kaimynės nuotrauka atlikta „Hubble“ teleskopu.	Isto é uma imagem de uma de_ as estrelas mais próximas de nós obtida com o Telescópio Espacial Hubble .	Bu bizim en yakın komşu yıldızlarımızdan birinin Hubble Uzay Teleskobu ile çekilen resmi.	talk_1976_en-en-lt-pt-tr
If we can take a similar space telescope, slightly larger, put it out there, fly an occulter in front of it, what we might see is something like that -- that's a family portrait of our solar system -- but not ours.	Jei mums pavyktų nugabenti panašų teleskopą, tik šiek tiek didesnį, jį palikti reikiamoje vietoje ir priešais įrengti uždangą, galėtumė pamatyti kažką tokio: saulės sistemos šeimos nuotrauka, bet ji ne mūsų.	Se usarmos um telescópio semelhante , ligeiramente maior , se o colocarmos no espaço , se pusermos uma antepara à sua frente , o que poderemos ver é algo como isto — isto é um retrato de família de_ o nosso sistema solar — mas não o nosso .	Eğer buna benzer biraz daha büyük bir uzay teleskobu alıp, oraya bir yere koyarsak, önüne bir gölgeleyici getirirsek, bunun gibi bir şey görebiliriz: Bu güneş sistemimizin aile portresi.	talk_1976_en-en-lt-pt-tr
We're hoping it'll be someone else's solar system as seen through an occulter, through a starshade like that.	Mes tikimės, kad tai bus kažkieno kito saulės sistema matoma per uždangą, pro štai tokį šydą.	Esperamos que seja outro sistema solar visto através de uma antepara , através de uma sombra estelar como esta .	Ama bizimkini değil, bir başka güneş sistemi görebilmeyi umuyoruz, gölgeleyici sayesinde, bunun gibi bir yıldız gölgeleyici sayesinde.	talk_1976_en-en-lt-pt-tr
You can see Jupiter, you can see Saturn, Uranus, Neptune, and right there in the center, next to the residual light is that pale blue dot.	Matote Jupiterį, Saturną, Uraną, Neptūną, o štai ten centre šviesos ruožo pakraštyje yra tas blyškusis mėlynasis taškas.	Podemos ver Júpiter , podemos ver Saturno , Urano , Neptuno , e mesmo no centro , próximo de_ a luz residual está o ponto azul pálido .	Jüpiter'i görebilirsiniz, Satürn'ü görebilirsiniz, Uranüs, Neptün ve tam burada merkezde kalıntı ışıkların yanındaki soluk mavi noktayı.	talk_1976_en-en-lt-pt-tr
That's Earth.	Žemė.	É a Terra .	Bu Dünya.	talk_1976_en-en-lt-pt-tr
We want to see that, see if there's water, oxygen, ozone, the things that might tell us that it could harbor life.	Norime pamatyti, ar ten yra vandens, deguonies, ozono, pamatyti dalykus, kurie parodytų, ar ten yra gyvybės.	Queremos ver isso , ver se tem água , oxigénio , ozono , as coisas que nos poderão dizer se poderá ter vida .	Şunları anlamak isityoruz: Su var mı, oksijen var mı, ozon var mı? Yaşam barındırabileceğine ilişkin işaretler arıyoruz.	talk_1976_en-en-lt-pt-tr
I think this is the coolest possible science.	Mano galva, tai šauniausias mokslas.	Penso que esta é a ciência mais fixe possível .	Bence bu mümkün olabilecek en harika bilim.	talk_1976_en-en-lt-pt-tr
