As a little girl, I always imagined I would one day run away.	Als kleines Mädchen stellte ich mir vor, dass ich eines Tages von Zuhause weglaufe.	KitraCahana_2014U-KitraCahana_2014U.de
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Sie opfern materiellen Komfort im Austausch gegen den Raum und die Zeit, ihr kreatives Inneres zu entdecken, um zu träumen, zu lesen, Musik zu machen, Kunst zu erschaffen und zu schreiben.	KitraCahana_2014U-KitraCahana_2014U.de
But there are many aspects to this life that are far from idyllic.	Aber es gibt viele Aspekte an dieser Art zu leben, die alles andere als idyllisch sind.	KitraCahana_2014U-KitraCahana_2014U.de
No one loses their inner demons by taking to the road.	Niemand verliert seine inneren Dämonen, indem er auf der Straße lebt.	KitraCahana_2014U-KitraCahana_2014U.de
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	Drogensucht und extremes Wetter gehören zur Wirklichkeit, Güterzüge verstümmeln oder töten, und wer auf der Straße gelebt hat, kann ein Zeugnis von der Unmenge an Gesetzen ablegen, wodurch sich Obdachlose strafbar machen.	KitraCahana_2014U-KitraCahana_2014U.de
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	Wussten Sie, dass es in vielen Städten der USA nun illegal ist, auf dem Bordstein zu sitzen, sich in eine Decke zu wickeln, im eigenen Auto zu übernachten, einem Fremden Essen anzubieten?	KitraCahana_2014U-KitraCahana_2014U.de
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Ich kenne diese Gesetze, weil ich sah, wie Freunde und andere Herumreisende ins Gefängnis geschleppt oder vorgeladen wurden, weil sie diese sogenannten "Verbrechen" begangen hatten.	KitraCahana_2014U-KitraCahana_2014U.de
Many of you might be wondering why anyone would choose a life like this, under the thumb of discriminatory laws, eating out of trash cans, sleeping under bridges, picking up seasonal jobs here and there.	Vielleicht fragen Sie sich, wieso jemand ein Leben wie dieses wählt, unter der Fuchtel diskriminierender Gesetze, aus Mülltonnen zu essen, unter Brücken zu schlafen, hier und da Saisonjobs anzunehmen.	KitraCahana_2014U-KitraCahana_2014U.de
The answer to such a question is as varied as the people that take to the road, but travelers often respond with a single word: freedom.	Darauf gibt es so viele Antworten wie Menschen, die dieses Leben führen, aber Herumreisende antworten oft mit einem Wort: Freiheit.	KitraCahana_2014U-KitraCahana_2014U.de
Until we live in a society where every human is assured dignity in their labor so that they can work to live well, not only work to survive, there will always be an element of those who seek the open road as a means of escape, of liberation and, of course, of rebellion.	Bis wir in einer Gesellschaft leben, wo jedem Menschen seine Würde bei der Arbeit garantiert wird, sodass sie arbeiten, um gut zu leben, und nicht nur um zu überleben, wird es immer auch jene geben, die die "offene Straße" aufsuchen: als Mittel zur Flucht, zur Befreiung und selbstverständlich zur Rebellion.	KitraCahana_2014U-KitraCahana_2014U.de
Thank you.	Vielen Dank.	KitraCahana_2014U-KitraCahana_2014U.de
(Applause)	(Applaus)	KitraCahana_2014U-KitraCahana_2014U.de
