As a little girl, I always imagined I would one day run away.	Jako dziewczynka wyobrażałam sobie, że pewnego dnia ucieknę.	KitraCahana_2014U-KitraCahana_2014U.pl
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	W nocy śpią pod rozgwieżdżonym niebem, wtuleni w stada psów, z kotami i udomowionymi szczurami pomiędzy swoimi ciałami.	KitraCahana_2014U-KitraCahana_2014U.pl
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Dla niektórych życie koczownika to wybór, odrzucenie materializmu, tradycyjnej pracy i akademickich dyplomów w zamian za odrobinę przygody.	KitraCahana_2014U-KitraCahana_2014U.pl
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Inni pochodzą z nizin społecznych i nigdy nie dostali szansy na wyrwanie się stamtąd.	KitraCahana_2014U-KitraCahana_2014U.pl
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Sieroty i nastolatki uciekające przed prześladowaniem i bezlitosnym otoczeniem.	KitraCahana_2014U-KitraCahana_2014U.pl
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	Tam, gdzie inni widzą historie o ubóstwie i porażce ekonomicznej, podróżnicy widzą swoją własną egzystencję przez pryzmat wyzwolenia i wolności.	KitraCahana_2014U-KitraCahana_2014U.pl
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Oni wybierają życie bez nadmiaru, odrzucają zwyczaje rozrzutnego, konsumpcyjnego społeczeństwa, nie dają się zniewolić mrzonce tradycyjnego amerykańskiego snu.	KitraCahana_2014U-KitraCahana_2014U.pl
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Wykorzystują fakt, że w Stanach Zjednoczonych 40% żywności kończy na śmietniku, przeszukując kontenery i śmietniki w poszukiwaniu dobrych jeszcze produktów, Poświęcają komfort materialny, zyskując przestrzeń i czas na odkrywanie swojego kreatywnego wnętrza, na marzenie, czytanie, pisanie, tworzenie muzyki i malowanie.	KitraCahana_2014U-KitraCahana_2014U.pl
But there are many aspects to this life that are far from idyllic.	Jednak wiele aspektów takiego życia jest dalekich od ideału.	KitraCahana_2014U-KitraCahana_2014U.pl
No one loses their inner demons by taking to the road.	Wyruszając w podróż, nie pozbywamy się wewnętrznych demonów.	KitraCahana_2014U-KitraCahana_2014U.pl
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	Uzależnienie jest prawdziwe, przestępczość jest prawdziwa, jazda pociągiem towarowym może skońćzyć się ranami i śmiercią. Każdy, kto mieszkał na ulicy, może wskazać niewyczerpaną listę przepisów delegalizujących życie bezdomnych.	KitraCahana_2014U-KitraCahana_2014U.pl
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	Kto z was zdaje sobie sprawę, że w wielu amerykańskich miastach nielegalne jest: siedzenie na krawężniku, okrywanie się kocem, spanie we własnym samochodzie, zaoferowanie jedzenia nieznajomemu?	KitraCahana_2014U-KitraCahana_2014U.pl
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Poznałam te przepisy, gdyż widziałam, jak moi koledzy i inni podróżnicy byli wtrącani do więzienia albo dostawali mandaty za popełnienie tych tak zwanych przestępstw.	KitraCahana_2014U-KitraCahana_2014U.pl
Many of you might be wondering why anyone would choose a life like this, under the thumb of discriminatory laws, eating out of trash cans, sleeping under bridges, picking up seasonal jobs here and there.	Wielu z was może się zastanawiać, dlaczego ktokolwiek wybrałby życie pod kontrolą dyskryminującego prawa, zjadając resztki ze śmieci, śpiąc pod mostem, i od czasu do czasu wykonując prace sezonowe.	KitraCahana_2014U-KitraCahana_2014U.pl
The answer to such a question is as varied as the people that take to the road, but travelers often respond with a single word: freedom.	Odpowiedź na to pytanie jest tak różna, jak różni są ludzie wybierający koczownicze życie, ale często odpowiadają oni jednym słowem: wolność.	KitraCahana_2014U-KitraCahana_2014U.pl
Until we live in a society where every human is assured dignity in their labor so that they can work to live well, not only work to survive, there will always be an element of those who seek the open road as a means of escape, of liberation and, of course, of rebellion.	Dopóki nie żyjemy w społeczeństwie, w którym każdy człowiek ma zapewnioną godną pracę, może pracować, aby dobrze żyć, a nie tylko pracować, aby przetrwać, zawsze znajdzie się odsetek tych, dla których wędrówka jest formą ucieczki, wyzwolenia i oczywiście sprzeciwu.	KitraCahana_2014U-KitraCahana_2014U.pl
Thank you.	Dziękuję.	KitraCahana_2014U-KitraCahana_2014U.pl
(Applause)	(Brawa)	KitraCahana_2014U-KitraCahana_2014U.pl
