As a little girl, I always imagined I would one day run away.	В детстве я часто представляла, что однажды сбегу далеко-далеко.	KitraCahana_2014U-KitraCahana_2014U.ru
By day, they hop freight trains, stick out their thumbs, and ride the highways with anyone from truckers to soccer moms.	Днём они запрыгивают в грузовые поезда, голосуют на дороге и едут с любым: от дальнобойщиков до мамаш за рулём.	KitraCahana_2014U-KitraCahana_2014U.ru
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	Ночью — спят под звёздами в обнимку со стайкой собак, кошек и шмыгающими то там, то тут крысами.	KitraCahana_2014U-KitraCahana_2014U.ru
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Некоторые путешественники выбирают дорогу сами, отказываясь от материализма, традиционной работы и университетского образования взамен на проблеск приключений.	KitraCahana_2014U-KitraCahana_2014U.ru
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Другие — выходцы со дна общества без шанса выбиться в люди: детдомовцы, сбежавшие из неблагоприятных семей и от плохого обращения подростки.	KitraCahana_2014U-KitraCahana_2014U.ru
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Там, где другие видят истории нужды и экономической неудачи, путешественники смотрят на своё существование сквозь призму освобождения и независимости.	KitraCahana_2014U-KitraCahana_2014U.ru
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	Они предпочтут жить на излишках того, что считают расточительным потребительским обществом, чем поработиться нереалистичному шансу традиционной американской мечты.	KitraCahana_2014U-KitraCahana_2014U.ru
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Они пользуются тем, что в США до 40% еды выбрасывается, питаясь вполне нормальной пищей из мусорных контейнеров и баков.	KitraCahana_2014U-KitraCahana_2014U.ru
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Они жертвуют материальным комфортом взамен на время и пространство для исследований творческой сущности, для мечтаний, чтения, сочинения музыки, занятий искусством и писательством.	KitraCahana_2014U-KitraCahana_2014U.ru
But there are many aspects to this life that are far from idyllic. No one loses their inner demons by taking to the road.	Однако множество аспектов такой жизни далеки от идиллических.	KitraCahana_2014U-KitraCahana_2014U.ru
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	Никто не освобождается от внутренних демонов, просто выбрав жизнь в дороге.	KitraCahana_2014U-KitraCahana_2014U.ru
	Зависимость реальна, стихии реальны, грузовые поезда калечат и убивают, и любой, кто жил на улице, может быть осуждён по исчерпывающему списку законов, вплоть до уголовной ответственности за бездомное существование.	KitraCahana_2014U-KitraCahana_2014U.ru
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	Кто из присутствующих в курсе, что в большинстве городов США теперь незаконно сидеть на тротуаре, укутываться в одеяло, спать в собственной машине, предлагать еду незнакомцу?	KitraCahana_2014U-KitraCahana_2014U.ru
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Я знаю об этих законах, потому что видела, как друзей и других путешественников тащили в тюрьму и вызывали в суд за совершение этих, так называемых преступлений.	KitraCahana_2014U-KitraCahana_2014U.ru
	Многие из вас могут удивиться, зачем кому-то выбирать такую жизнь: под каблуком дискриминационных законов, питаясь из мусорки, засыпая под мостом, берясь за временную работу то там, то тут?	KitraCahana_2014U-KitraCahana_2014U.ru
Many of you might be wondering why anyone would choose a life like this, under the thumb of discriminatory laws, eating out of trash cans, sleeping under bridges, picking up seasonal jobs here and there.	Ответ на этот вопрос настолько же разнообразен, как и выбравшие жизнь в дороге люди.	KitraCahana_2014U-KitraCahana_2014U.ru
The answer to such a question is as varied as the people that take to the road, but travelers often respond with a single word: freedom.	Однако, часто путешественники отвечают одним словом: свобода.	KitraCahana_2014U-KitraCahana_2014U.ru
Until we live in a society where every human is assured dignity in their labor so that they can work to live well, not only work to survive, there will always be an element of those who seek the open road as a means of escape, of liberation and, of course, of rebellion.	Пока мы не будем жить в обществе, где человек подтверждает своё достоинство трудом, то есть работает, чтобы жить лучше, а не просто работает, чтобы выжить, всегда будет подобного рода люди, жаждущих открытых дорог для побега, освобождения и, конечно, бунта.	KitraCahana_2014U-KitraCahana_2014U.ru
Thank you.	Спасибо.	KitraCahana_2014U-KitraCahana_2014U.ru
(Applause)	(Аплодисменты)	KitraCahana_2014U-KitraCahana_2014U.ru
