As a little girl, I always imagined I would one day run away.	Kai buvau maža, vis įsivaizduodavau, kad vieną dieną pabėgsiu.	Em pequena , sempre imaginei que um dia fugiria .	Küçük bir kız olarak, bir gün kaçan giden biri olmayı hayal ettim.	talk_2009_en-en-lt-pt-tr
By night, they sleep beneath the stars, huddled together with their packs of dogs, cats and pet rats between their bodies.	Naktimis miega po žvaigždėmis, susispaudę su savo šunimis, katėmis, naminėmis žiurkėmis.	À noite , eles dormem sob as estrelas , amontoados com as suas matilhas de cães , gatos e ratos de companhia entre os seus corpos .	Akşam, yıldızların altında birlikte köpeklerine, kedilerine ve evcil farelerine sokularak uyuyorlar.	talk_2009_en-en-lt-pt-tr
Some travelers take to the road by choice, renouncing materialism, traditional jobs and university degrees in exchange for a glimmer of adventure.	Kai kurie keliautojai pasirenka kelią tarsi boikotuodami materializmą, tradicinius darbus, universitetinį išsilavinimą tam, kad gautų nuotykių gūsį.	Alguns viajantes metem -se à estrada por opção , renunciam a_ o materialismo , a_ os empregos tradicionais e a_ os graus universitários , em troca de um vislumbre de aventura .	Yolları tercih eden bazı gezginler maddeciliği, geleneksel işleri ve üniversite derecelerini bir maceranın zayıf ışığına tercih ediyor.	talk_2009_en-en-lt-pt-tr
Others come from the underbelly of society, never given a chance to mobilize upwards: foster care dropouts, teenage runaways escaping abuse and unforgiving homes.	Kiti ateina iš žemesniojo visuomenės sluoksnio, niekada nė neturėję šanso pakilti aukščiau: globos namų atstumtieji, paaugliai, bėgantys nuo prievartos ir neatleidžiančių namų.	Outros vêm de_ a parte inferior de_ a sociedade , nunca tiveram uma oportunidade de ascender : rejeitados de adoções , adolescentes fugitivos a escapar de abusos e de casas implacáveis .	Ama diğer toplumun alt kesimlerinden gelenlerin yukarlara doğru tırmanmaya şanşı yok: evlatlık olup bakıcılardan kaçanlar, kaçan ergenler, tacize uğrayanlar ve evinden atılalar.	talk_2009_en-en-lt-pt-tr
Where others see stories of privation and economic failure, travelers view their own existence through the prism of liberation and freedom.	Ten, kur kiti mato nepritekliaus ir ekonominių nesėkmių istorijas, patys keliauninkai mato savo egzistenciją pro išsilaisvinimo ir laisvės prizmę.	Onde outros veem histórias de privação e fracasso económico , os viajantes visualizam a sua própria existência através de_ a perspetiva de_ a libertação e liberdade .	Diğerlerinin ekonomik başarısızlık ve yokluk gördüğü yerde, gezginler liberalizm ve özgürlük prizmasından kendi var oluşlarını görüyorlar. boşa giden ve tüketici bir toplum olarak gördüklerinin aşırılılıklarındansa geleneksel Amerikan rüyasında gerçek dışı bir şansla çok çalışarak yaşıyorlar.	talk_2009_en-en-lt-pt-tr
They'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream.	Jie verčiau gyvens ne pertekime, kurį jie mato kaip viską švaistančią vartotojišką visuomenę, ir nevergaus nerealistiškai tradicinei amerikietiškai svajonei.	Preferem viver fora de_ o excesso de_ o que veem como uma sociedade de consumo e de desperdício , de_ o que aprisionados em_ uma possibilidade irrealista no sonho americano tradicional .		talk_2009_en-en-lt-pt-tr
They take advantage of the fact that in the United States, up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans.	Jie pasinaudoja faktu, kad JAV iki 40 proc. maisto atsiduria konteineriuose ir rausiasi juose ieškodami puikios kokybės produkcijos.	Eles aproveitam -se de_ o facto de , nos Estados Unidos , cerca de 40 % de todos os alimentos acabarem no lixo , para procurar produtos perfeitamente bons em lixeiras e caixotes de_ o lixo .	Birleşik Devletler'de yiyeceklerin yüzde 40'nın sonunun çöpte bittiği gerçeğinden yola çıkarak çöplüklerin ve çöp tenekelerinin karıştırıp yiyecek toplamak için mükemmel bir üretim yeri olduğudur.	talk_2009_en-en-lt-pt-tr
They sacrifice material comforts in exchange for the space and the time to explore a creative interior, to dream, to read, to work on music, art and writing.	Jie paaukoja meterialinį komfortą tam, kad gautų erdvės ir laiko tyrinėti savo kūrybines erdves, svajoti, skaityti, rašyti, dirbti su menu ir muzika.	Sacrificam o conforto material em troca de_ o espaço e de_ o tempo para explorar um interior criativo , para sonhar , para ler , para trabalhar em música , arte e escrita .	Nesnel rahatlığı yer ve zaman karşılığında içsel bir yaratıcılığı keşfetmek için, hayal kurmak, okumak, müzik, sanat ve edebiyatta çalışmak için feda ediyorlar	talk_2009_en-en-lt-pt-tr
But there are many aspects to this life that are far from idyllic.	Bet šis gyvenimo būdas turi daug aspektų, kurie yra toli nuo idilės.	Mas existem muitos aspetos de_ esta vida que estão longe de ser idílicos . Ninguém perde os seus demónios interiores a_ o meter -se à estrada .	Ama bir çok açıdan bu hayat cennet gibi sessiz bir yaşantıdan uzak.	talk_2009_en-en-lt-pt-tr
No one loses their inner demons by taking to the road.	Niekas neatsikrato savo ydų tiesiog išeidami į kelią.	O vício é real , os elementos são reais , os comboios de mercadorias mutilam e matam .	Hiç kimse yollara düşerek kendi içindeki şeytanından kurtulamıyor.	talk_2009_en-en-lt-pt-tr
Addiction is real, the elements are real, freight trains maim and kill, and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence.	Priklausomybės tikros, stichijos tikros, suluošinimas ir žudynės krovininiuose traukiniuose - visi, kurie gyveno gatvėse, gali paliudyti apie išsamius įstatymų sąrašus, kurie benamių egzistavimą paverčia nusikaltimu.	Qualquer um que tenha vivido nas ruas pode confirmar a lista exaustiva de leis que criminalizam a existência de_ os sem-abrigo .	Bağımlılık gerçek, doğa şartları gerçek, yük trenleri öldürüyor ve sakatlıyor ve sokaklarda yaşayan her hangi biri bunu onaylayabilir yorucu yasalar listesi evsiz insanları suçlu hala getiriyor.	talk_2009_en-en-lt-pt-tr
Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk, to wrap oneself in a blanket, to sleep in your own car, to offer food to a stranger?	Kiek iš jūsų žino, kad daugelyje JAV miestų dabar yra uždrausta sėdėti ant šaligatvio, susisukti į pledą, miegoti savo mašinoje, pasiūlyti maisto nepažįstamajam?	Quem aqui sabe que , em muitas cidades de_ os Estados Unidos , é agora ilegal sentar -se no passeio , embrulhar -se em_ um cobertor , dormir no seu próprio carro , oferecer comida a um estranho ?	Burada kim Birleşik Devletler'de birçok şehirde yol kenarına battaniyeye sarılı oturmanın yaşadışı oldupunu biliyor. veya arabanızda uyumanın, veya yabancılara yiyecek önermenin?	talk_2009_en-en-lt-pt-tr
I know about these laws because I've watched as friends and other travelers were hauled off to jail or received citations for committing these so-called crimes.	Aš žinau apie šiuos įstatymus, nes mačiau, kaip draugai ir kiti keliautojai sėdo už grotų arba gavo įspėjimus, nes įvykdė šiuos "nusikaltimus".	Eu conheço estas leis , porque observei como amigos e outros viajantes foram levados para a prisão ou receberam citações por praticarem estes alegados crimes .	Bu kanunları biliyorum çünkü bir kaç arkadaşın ve diğer gezginlerin şuç denen bu şeylerden dolayı hapishaneye götürüldüğünü veya uyarı aldığına şahit oldum.	talk_2009_en-en-lt-pt-tr
Many of you might be wondering why anyone would choose a life like this, under the thumb of discriminatory laws, eating out of trash cans, sleeping under bridges, picking up seasonal jobs here and there.	Daugelis iš jūsų turbūt svarsto, kodėl kas nors apskritai rinktųsi tokį gyvenimą - tarp daugybės diskriminuojančių įstatymų, valgant maistą iš šiukšliadėžių, miegant po tiltais, dirbant sezoninius darbus šen bei ten.	Muitos de vocês podem estar a perguntar -se porque alguém escolheria uma vida como esta , sob o domínio de leis discriminatórias , a comer de caixotes de_ o lixo , a dormir debaixo de pontes , a aceitar empregos sazonais aqui e ali .	Bir çoğunuz şunu merak edebilir, neden birisi böyle bir hayatı tercih etsin ki, böyle eşit olmayan yasalar altında, çöp kutularından yemek yiyerek, köprü altlarında uyuyarak, sezonluk işlerde orada burada çalışşın.	talk_2009_en-en-lt-pt-tr
The answer to such a question is as varied as the people that take to the road, but travelers often respond with a single word: freedom.	Atsakymas į šį klausimą gali skirtis, kaip skiriasi ir žmonės sutinkami kelyje, bet keliautojai dažnai atsako vienu žodžiu: laisvė.	A resposta a esta pergunta é tão variada como as pessoas que se fazem à estrada , mas os viajantes costumam responder com uma única palavra : liberdade .	Böyle bir soruya yollara düşen insanlar tarafından çeşitli cevaplar verilebilir, ama göçebeler genellikle is tek bir kelime ile cevap vereceklerdir: özgürlük.	talk_2009_en-en-lt-pt-tr
Until we live in a society where every human is assured dignity in their labor so that they can work to live well, not only work to survive, there will always be an element of those who seek the open road as a means of escape, of liberation and, of course, of rebellion.	Kol negyvename visuomenėje, kurioje kiekvienam žmogui yra užtikrintas orumas dirbant, kad jie galėtų dirbti ir gyventi, o ne tik dirbti ir išgyventi, tol atsiras tokių, kurie į kelią žiūrės kaip į pabėgimą, išsilaisvinimą ir, be abejo, maištą. Ačiū.	Até vivermos em_ uma sociedade em que a cada ser humano seja assegurada a dignidade no seu trabalho , para que possa trabalhar para viver bem , — não apenas trabalhar para sobreviver — haverá sempre quem procure a estrada aberta como meio de fuga , de libertação e , é claro , de rebelião .	Her insanın kendi işinin onurundan emin olduğu bir dünyada yaşayana kadar, onlariyi yaşamak için çalışacaklar sadece hayatta kalmak için değil, daima bir anlamda kaçmak için, özgürlük için ve tabii ki başkaldırı için.	talk_2009_en-en-lt-pt-tr
Thank you.	(Plojimai)	Obrigado	Teşekkürler.	talk_2009_en-en-lt-pt-tr
